State,Indian,Foreign,Discharged,Death,Confirmed,Active
Andhra Pradesh,5,0,0,0,5,5
Bihar,2,0,0,1,3,1
Chhattisgarh,1,0,0,0,1,1
Delhi,28,1,5,1,35,23
Gujarat,18,0,0,1,19,17
Haryana,7,14,0,0,21,21
Himachal Pradesh,2,0,0,0,2,2
Karnataka,26,0,2,1,29,23
Kerala,45,7,3,0,55,49
Madhya Pradesh,4,0,0,0,4,4
Maharashtra,64,3,0,2,69,65
Odisha,2,0,0,0,2,2
Puducherry,1,0,0,0,1,1
Punjab,21,0,0,1,22,20
Rajasthan,22,2,3,0,27,21
Tamil Nadu,5,2,1,0,8,6
Telengana,11,11,1,0,23,21
Chandigarh,5,0,0,0,5,5
Jammu and Kashmir,4,0,0,0,4,4
Ladakh,13,0,0,0,13,13
Uttar Pradesh,26,1,9,0,36,18
Uttarakhand,3,0,0,0,3,3
West Bengal,4,0,0,0,4,4
